Tri,Année,Périmètre juridique,Legal perimeter,Périmètre spatial,country,Filière,Sector,Type d'énergie,Type of energy,Production,Unité ,Méthode de consolidation,Consolidation method,city,lat,lng,population
123.0,20210.0,Groupe EDF,EDF group,France,France,Gaz,Gas,Électrique,Electric,9800.98476508,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
124.0,20210.0,Groupe EDF,EDF group,France,France,Hydraulique,Hydraulic,Électrique,Electric,43330.7899136,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
125.0,20210.0,Groupe EDF,EDF group,France,France,Éolienne,Wind,Électrique,Electric,3396.2569246,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
126.0,20210.0,Groupe EDF,EDF group,France,France,Solaire,Solar,Électrique,Electric,349.848924399999,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
127.0,20210.0,Groupe EDF,EDF group,France,France,Géothermie,Geothermal,Électrique,Electric,3.7459264,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
128.0,20210.0,Groupe EDF,EDF group,France,France,Biomasse,Biomass,Électrique,Electric,767.7651405,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
129.0,20210.0,Groupe EDF,EDF group,France,France,Énergie marine,Marine energy,Électrique,Electric,543.049,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
130.0,20210.0,Groupe EDF,EDF group,France,France,Divers,Various,Électrique,Electric,118.988564,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
131.0,20210.0,Groupe EDF,EDF group,France,France,Charbon,Coal,Chaleur,Heat,15.6710738195347,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
132.0,20210.0,Groupe EDF,EDF group,France,France,Fioul,Fioul,Chaleur,Heat,221.085093684972,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
133.0,20210.0,Groupe EDF,EDF group,France,France,Gaz,Gas,Chaleur,Heat,14597.6366149675,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
134.0,20210.0,Groupe EDF,EDF group,France,France,Divers,Various,Chaleur,Heat,374.620492381667,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
135.0,20210.0,Groupe EDF,EDF group,France,France,Autres ENR,Other Renewable Energies,Chaleur,Heat,7848.24067660148,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
217.0,20200.0,Groupe EDF,EDF group,France,France,Nucléaire,Nuclear,Électrique,Electric,330004.38633,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
221.0,20200.0,Groupe EDF,EDF group,France,France,Charbon,Coal,Électrique,Electric,1143.633,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
224.0,20200.0,Groupe EDF,EDF group,France,France,Fioul,Fioul,Électrique,Electric,4688.46812992,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
229.0,20200.0,Groupe EDF,EDF group,France,France,Gaz,Gas,Électrique,Electric,10310.9313863,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
239.0,20200.0,Groupe EDF,EDF group,France,France,Hydraulique,Hydraulic,Électrique,Electric,46097.316304,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
249.0,20200.0,Groupe EDF,EDF group,France,France,Éolienne,Wind,Électrique,Electric,3466.638208,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
264.0,20200.0,Groupe EDF,EDF group,France,France,Solaire,Solar,Électrique,Electric,293.78224712,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
275.0,20200.0,Groupe EDF,EDF group,France,France,Géothermie,Geothermal,Électrique,Electric,2.4376,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
276.0,20200.0,Groupe EDF,EDF group,France,France,Biomasse,Biomass,Électrique,Electric,886.981992157,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
279.0,20200.0,Groupe EDF,EDF group,France,France,Énergie marine,Marine energy,Électrique,Electric,539.947,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
280.0,20200.0,Groupe EDF,EDF group,France,France,Divers,Various,Électrique,Electric,237.977012217,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
283.0,20200.0,Groupe EDF,EDF group,France,France,Charbon,Coal,Chaleur,Heat,14.40095424,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
285.0,20200.0,Groupe EDF,EDF group,France,France,Fioul,Fioul,Chaleur,Heat,206.146258188,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
289.0,20200.0,Groupe EDF,EDF group,France,France,Gaz,Gas,Chaleur,Heat,12865.8171787,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
292.0,20200.0,Groupe EDF,EDF group,France,France,Divers,Various,Chaleur,Heat,672.268023364,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
295.0,20200.0,Groupe EDF,EDF group,France,France,Autres ENR,Other Renewable Energies,Chaleur,Heat,8524.77091302,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
317.0,20190.0,Groupe EDF,EDF group,France,France,Nucléaire,Nuclear,Électrique,Electric,368131.21913,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
321.0,20190.0,Groupe EDF,EDF group,France,France,Charbon,Coal,Électrique,Electric,927.388841333,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
324.0,20190.0,Groupe EDF,EDF group,France,France,Fioul,Fioul,Électrique,Electric,4825.69600362,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
329.0,20190.0,Groupe EDF,EDF group,France,France,Gaz,Gas,Électrique,Electric,11978.1062586,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
338.0,20190.0,Groupe EDF,EDF group,France,France,Hydraulique,Hydraulic,Électrique,Electric,41336.8801009,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
348.0,20190.0,Groupe EDF,EDF group,France,France,Éolienne,Wind,Électrique,Electric,3230.9025686,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
364.0,20190.0,Groupe EDF,EDF group,France,France,Solaire,Solar,Électrique,Electric,260.210142955,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
375.0,20190.0,Groupe EDF,EDF group,France,France,Géothermie,Geothermal,Électrique,Electric,3.714016,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
376.0,20190.0,Groupe EDF,EDF group,France,France,Biomasse,Biomass,Électrique,Electric,1044.1894516,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
379.0,20190.0,Groupe EDF,EDF group,France,France,Énergie marine,Marine energy,Électrique,Electric,531.652,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
380.0,20190.0,Groupe EDF,EDF group,France,France,Divers,Various,Électrique,Electric,264.5941482,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
383.0,20190.0,Groupe EDF,EDF group,France,France,Charbon,Coal,Chaleur,Heat,94.1075016,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
385.0,20190.0,Groupe EDF,EDF group,France,France,Fioul,Fioul,Chaleur,Heat,266.7828342,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
388.0,20190.0,Groupe EDF,EDF group,France,France,Gaz,Gas,Chaleur,Heat,14395.6913996,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
390.0,20190.0,Groupe EDF,EDF group,France,France,Divers,Various,Chaleur,Heat,3069.10743,GWh,Nette,Net,Paris,48.8667,2.3333,9904000.0
